Cr,1/T,ln(t),DO,weightgain
10.38,0.00129341,4.605170186,8000,-1
10.38,0.00129341,5.521460918,8000,1
10.38,0.00129341,6.214608098,8000,1
10.38,0.00129341,6.907755279,8000,1
11.022,0.001083248,5.298317367,0,1
11.022,0.001083248,5.991464547,0,1
11.022,0.001083248,6.684611728,0,1
11.022,0.001083248,6.396929655,0,1
11.022,0.001083248,6.907755279,0,1
11.16,0.00129341,4.605170186,8000,-1
11.16,0.00129341,5.521460918,8000,1
11.16,0.00129341,6.214608098,8000,1
11.16,0.00129341,6.907755279,8000,1
11.43,0.00129341,4.605170186,8000,-1
11.43,0.00129341,5.521460918,8000,1
11.43,0.00129341,6.214608098,8000,1
11.43,0.00129341,6.907755279,8000,1
11.81,0.00129341,4.605170186,8000,-1
11.81,0.00129341,5.521460918,8000,1
11.81,0.00129341,6.214608098,8000,1
11.81,0.00129341,6.907755279,8000,1
